WT	673.8823	1305.299	654.7444	789.7065	2025.455	2173.903	936.7643	16268.63	297.6421	506.0421	476.0239	596.6415	919.1256	57.23811	242.3855	20	20	20	32.32722	114.7344	37.38054	48.13448	131.577	109.4177	656.2546	55.02058	20	641.8607	84.13156	156.266	932.0675	8938.75	677.2333	282.295	6136.483	869.8145	4319.632	1579.461	2091.473	1687.306	90.0195	534.1486	247.2978	309.5909	312.1711	2913.301	3434.233	3954.998	6796.419	2262.871	3896.395	925.9155	1886.868	2881.283	602.2209	4327.917	392.6728	43308.85	198.546	1315.24	1797.752	20.3896	135.6361	123.6242	98.6789	410.9018	777.9059	1545.021	697.3389	733.1573	1045.571	3249.252	78.2867	34.90224
Beta	628.4006	1158.171	941.797	547.6354	1385.427	1710.385	1651.422	43331.71	734.4747	2343.607	1933.235	1105.829	768.5887	73.75066	894.1523	20	20	20	38.11944	168.5674	20.61939	31.66837	79.55104	353.4581	348.6559	20	20	1320.876	934.7131	158.1828	54.1016	421.1651	98.6923	64.7095	403.3986	21.42	1007.99	82.6362	1351.663	1266.181	49.6959	545.8265	309.5218	20	37.3876	8878.668	5480.363	5013.364	889.5129	1889.923	1860.976	2232.268	5273.122	6023.786	463.3735	17797.54	7469.61	154128	1653.843	2590.14	526.6185	20	60.5749	232.1891	112.8022	174.0208	664.947	12091.47	4516.277	783.2276	7012.974	16105.81	40.10599	1532.997
Delta	160.3711	490.238	174.073	387.1203	670.25	1131.519	353.4971	18080.58	473.4274	286.0938	399.7975	243.3602	613.1334	42.58606	283.5719	20	20	20	20	282.1893	186.2327	20	80.01015	68.71446	115.6534	20	20	106.1799	49.304	42.80968	498.2289	2150.576	440.9924	169.3715	1558.28	52.6229	3123.077	664.5573	431.2294	1695.783	20	628.9922	300.5206	77.836	200.9467	1748.835	2580.252	2691.492	1189.225	715.3949	1211.353	759.3953	2738.782	2937.544	1649.153	6719.394	1288.506	192383	1290.414	131.8377	457.4628	46.3647	231.1738	51.0103	188.8633	20	1285.561	4402.959	1804.859	3033.001	6888.543	8938.333	1164.381	52.13707
BA.1	596.8648	645.8775	877.939	224.552	2477.193	2362.957	3765.331	39635.76	824.4081	946.1152	1013.171	682.8335	58.21444	37.34084	513.6515	20	20	20	20	38.3643	51.23297	20	34.4633	58.8133	386.9929	39.37764	20	990.0812	1342.957	198.4015	26.0251	93.0149	54.9598	62.3946	37.0235	20	20.0821	20	20	20	20	25.2761	20	20	20	1256.468	1438.264	147.6076	112.025	263.8902	1041.201	1494.857	3850.676	2566.617	587.9105	6539.271	981.7838	7896.74	173.5482	188.0426	222.4528	20	362.2484	252.9515	120.388	20	847.2451	675.4399	769.9211	609.7073	320.3108	564.421	250.8446	20
BA.5.2	518.3429	1010.09	590.5438	44.19928	1406.906	1405.12	569.9958	37454.2	788.2654	261.4647	801.4691	651.806	179.4306	48.3742	241.3027	20	20	443.0081	108.8716	511.9135	390.6858	99.81048	182.3622	20.8522	5326.14	81.17627	20	1565.057	152.8674	466.2391	89.5252	463.688	66.4016	155.8768	157.8952	20	413.5446	121.6444	20	486.84	20	29.3408	20	20	20	2416.937	6215.101	3131.967	2465.323	1135.222	1373.911	2415.793	4946.405	6016.383	3329.81	4183.218	9214.081	13015.83	1011.239	5589.539	6221.622	2036.446	1941.784	1742.437	308.6862	3839.037	8621.392	5204.791	12825.03	12698.76	388.7888	1473.782	1000.418	1404.074
BQ.1	825.5709	913.8709	359.0903	39.18643	413.4583	1107.097	304.2401	797.9888	362.3956	75.82903	550.0035	272.7253	132.3916	23.30262	105.6865	20	26.95369	40.54042	101.1183	399.7167	224.3675	56.12001	123.6964	20	2040.548	62.06671	20	1193.182	141.8824	279.2761	70.5343	241.2414	70.1407	205.653	135.8454	20	26.3292	20	11.9069	34.8174	20	39.4265	20	20	20	700.3659	2074.098	1233.936	3690.16	6264.6	2738.361	4947.339	491.4547	830.7599	871.2296	1992.481	5733.697	4291.696	133.2323	2706.927	3438.431	1733.777	4721.808	1596.024	505.8013	2733.418	5734.198	1798.167	11334.34	2331.914	47.48324	316.0926	918.0626	144.013
BQ.1.1	375.1865	509.7854	196.6069	35.84022	238.0718	1426.563	278.2923	1362.084	401.0379	68.51874	301.6116	167.183	169.2523	20.60499	200.3962	20	20	27.19087	67.41506	283.4746	387.0454	152.6263	384.2993	20	3297.548	67.81584	20	1974.159	231.1834	380.362	49.9124	43.2367	31.6214	123.3572	430.565	53.2461	20	20	20	30.7243	20	21.6516	20	20	20	457.7964	1753.18	1178.71	2999.885	1443.552	1000.946	1585.825	247.4025	1076.189	2405.494	1877.581	8013.354	33962.72	128.1252	6445.372	2736.7	2582.064	4452.373	1500.068	266.5643	1766.576	5558.84	2080.387	10416.92	6828.605	60.69314	420.6932	964.9577	2800.626
BF.7	728.1084	995.8035	674.0011	43.09379	2093.808	2354.042	535.1947	23303.72	328.3961	198.9703	552.2977	328.3164	180.7989	34.72717	287.4538	20	44.19717	139.0364	109.4475	670.4677	476.7716	81.27916	233.7715	20.72244	4713.561	81.48763	20	2023.998	216.8482	379.6423	75.3398	137.0366	57.3173	140.7499	91.4961	20	111.8379	25.2319	20	201.0353	20	36.2937	20	20	20	3392.071	4539.16	2813.687	2674.582	1545.759	1875.865	3497.772	749.2358	2762.94	3154.711	3833.511	5035.5	25354.25	344.4522	7451.45	6214.218	3012.128	1810.031	1890.374	335.2584	2965.47	8365.838	5377.632	8789.265	8156.275	99.46915	723.675	1397.434	759.7731
BA.2.75	258.0536	410.058	412.7982	170.7815	546.0078	1125.578	416.3903	17425.07	513.1766	215.4241	780.8569	476.1407	113.2996	20	304.6678	20	20	20	20	41.62431	85.18127	39.56465	51.01379	53.28671	400.5175	31.61869	20	535.5665	28.73738	140.0795	20	60.3851	32.2826	43.9635	196.5392	20	20	20	20	20	20	28.9932	20	20	20	2819.901	3952.279	163.8035	2945.339	811.7333	1430.055	1128.733	1008.748	1112.111	714.5486	4770.133	4160.867	86475.86	312.467	7305.936	909.7612	220.1784	1929.592	189.5176	73.4205	67.6071	2025.242	2165.185	2150.427	2427.296	153.464	208.4628	330.1801	148.4489
XBB	61.74173	37.75912	44.82255	20	46.50645	103.8684	112.6355	82.62364	40.07826	68.97054	54.65591	50.47477	20	20	72.15128	20	20	20	20	27.98403	20	20	44.50519	20	832.1439	28.87408	20	586.9926	188.495	36.29094	20	32.1639	75.3104	63.224	122.8292	44.4608	20	20	20	20	20	20	20	20	20	100.2316	2423.304	45.7707	289.6071	95.1494	686.2288	687.5041	66.2899	739.8265	237.7964	5224.21	106.8244	1953.314	611.3876	20	918.61	459.6186	184.797	310.5846	95.5746	53.8774	4206.875	1554.725	2610.294	1668.378	20	132.0524	301.0041	20
